                                                                                                                                                                                                                                                                                            Technical_Skills
                                                                                                                                                                                                                                                                                             Network Routing
                                                                                                                                                                                                                                                               Classroom Management,Firewall,Network Routing
                                                                                                                                                                                                                                                               Classroom Management,Firewall,Network Routing
Sage 50 (Accounting Software),Digital Marketing,Python (Programming Language),Java (Programming Language),Software Testing,Microsoft Azure,Big Data,PHP (Scripting Language),Data Science,Web Design,Amazon Web Services,Machine Learning,SAP FI/CO,QuickBooks (Accounting Software),Artificial Intelligence
                                                                                                                                                                                                     Wide Area Networks,Network Infrastructure,Network Routing,Local Area Networks,Firewall,Network Switches
                                                                                                                                                                                                            Internet Protocol Security (IP SEC),Wireless LAN,Network Routing,Network Access Control,Firewall
                                                                                                                                                                                                            Internet Protocol Security (IP SEC),Wireless LAN,Network Routing,Network Access Control,Firewall
                                                                                                                                                                                                                                                                       Backlogs,Business Process Outsourcing
                                                                                                                                                                                                                                                                                 Software Testing,Automation
                                                                                                                                                                                                                                                                             Software Testing,Manual Testing
