                                                                                                                                                                                                                                                              Technical_Skills
                                                                                                                                                                                                                               Remote Monitoring,Desktop Support,User Accounts
                                                                                                                                                                                                                                                                 Commissioning
Application Programming Interface (API),Manual Testing,Systems Development Life Cycle,Software Testing,Agile Software Development,JIRA,Bugzilla,SQL (Programming Language),Relational Database Management Systems,Security Testing,Test Execution Engine,Defect Tracking,Linux
